日付,小計
2020-02-14T08:00:00.000Z,1
2020-02-15T08:00:00.000Z,0
2020-02-16T08:00:00.000Z,0
2020-02-17T08:00:00.000Z,0
2020-02-18T08:00:00.000Z,0
2020-02-19T08:00:00.000Z,0
2020-02-20T08:00:00.000Z,0
2020-02-21T08:00:00.000Z,0
2020-02-22T08:00:00.000Z,0
2020-02-23T08:00:00.000Z,0
2020-02-24T08:00:00.000Z,0
2020-02-25T08:00:00.000Z,0
2020-02-26T08:00:00.000Z,0
2020-02-27T08:00:00.000Z,0
2020-02-28T08:00:00.000Z,1
2020-02-29T08:00:00.000Z,1
2020-03-01T08:00:00.000Z,5
2020-03-02T08:00:00.000Z,4
2020-03-03T08:00:00.000Z,9
2020-03-04T08:00:00.000Z,1
2020-03-05T08:00:00.000Z,4
2020-03-06T08:00:00.000Z,6
2020-03-07T08:00:00.000Z,2
2020-03-07T08:00:00.000Z,7
