日付,曜日,9-17時,17-翌9時,date,w,short_date,小計
2020-02-07T08:00:00.000Z,金,,,2020-02-07,,02/07,9
2020-02-08T08:00:00.000Z,土,,,2020-02-08,,02/08,14
2020-02-09T08:00:00.000Z,日,,,2020-02-09,,02/09,9
2020-02-10T08:00:00.000Z,月,,,2020-02-10,,02/10,10
2020-02-11T08:00:00.000Z,火,,,2020-02-11,,02/11,6
2020-02-12T08:00:00.000Z,水,,,2020-02-12,,02/12,13
2020-02-13T08:00:00.000Z,木,,,2020-02-13,,02/13,6
2020-02-14T08:00:00.000Z,金,,,2020-02-14,,02/14,68
2020-02-15T08:00:00.000Z,土,,,2020-02-15,,02/15,56
2020-02-16T08:00:00.000Z,日,,,2020-02-16,,02/16,51
2020-02-17T08:00:00.000Z,月,,,2020-02-17,,02/17,113
2020-02-18T08:00:00.000Z,火,,,2020-02-18,,02/18,119
2020-02-19T08:00:00.000Z,水,,,2020-02-19,,02/19,123
2020-02-20T08:00:00.000Z,木,,,2020-02-20,,02/20,197
2020-02-21T08:00:00.000Z,金,,,2020-02-21,,02/21,208
2020-02-22T08:00:00.000Z,土,,,2020-02-22,,02/22,204
2020-02-23T08:00:00.000Z,日,,,2020-02-23,,02/23,196
2020-02-24T08:00:00.000Z,月,,,2020-02-24,,02/24,338
2020-02-25T08:00:00.000Z,火,,,2020-02-25,,02/25,293
2020-02-26T08:00:00.000Z,水,,,2020-02-26,,02/26,299
2020-02-27T08:00:00.000Z,木,,,2020-02-27,,02/27,373
